CDCATCL,CDMOTDEM,CDSEXE,CDSITFAM,CDTMT,DTADH,DTDEM,ID,MTREV,NBENF,source,id_fichier
21,DV,2,A,0,04/04/1972,25/06/2003,1,0,0,table1,1
21,DV,2,A,0,12/04/1972,06/07/2005,2,0,0,table1,2
21,DV,2,B,0,19/07/1972,14/02/2001,3,0,0,table1,3
21,DV,3,M,0,28/08/1972,09/03/2006,4,0,0,table1,4
21,DV,2,A,0,06/11/1972,22/03/1999,5,0,0,table1,5
21,DV,2,A,0,28/12/1972,07/01/2000,6,0,0,table1,6
21,DV,2,A,0,25/01/1973,02/09/2003,7,0,0,table1,7
21,DV,3,A,0,26/09/1973,16/07/2004,8,0,0,table1,8
21,DV,3,M,0,13/08/1974,31/05/2006,9,0,0,table1,9
21,DV,2,A,0,16/09/1974,17/10/2006,10,0,0,table1,10
21,DV,3,A,0,16/09/1974,09/03/2006,11,0,0,table1,11
21,DV,3,A,0,02/12/1974,02/09/2003,12,0,0,table1,12
21,DV,3,A,0,14/04/1976,04/05/2004,13,0,0,table1,13
21,DV,3,M,0,29/04/1976,09/06/2004,14,0,0,table1,14
21,DV,3,A,0,10/06/1976,03/07/2003,15,0,0,table1,15
21,DV,4,C,0,03/08/1976,15/10/2002,16,0,0,table1,16
21,DV,2,M,0,09/08/1976,08/12/2004,17,0,0,table1,17
21,DV,3,A,0,05/10/1976,26/04/2004,18,0,0,table1,18
21,DV,3,A,0,04/04/1977,24/10/2001,19,0,0,table1,19
21,DV,2,A,0,10/10/1977,19/05/1999,20,0,0,table1,20
21,DV,3,A,0,05/12/1977,16/05/2001,21,0,0,table1,21
21,DV,2,A,0,09/06/1978,25/01/2001,22,0,0,table1,22
21,DV,3,A,0,29/06/1978,18/04/2003,23,0,0,table1,23
21,DV,2,A,0,12/10/1978,12/05/2004,24,0,0,table1,24
21,DV,3,A,0,21/11/1978,29/06/2005,25,0,0,table1,25
21,DV,3,D,0,18/12/1978,23/10/2006,26,2683,2,table1,26
21,DV,3,A,0,18/01/1979,11/10/2000,27,0,0,table1,27
