table,colonne,n_lignes,manquants_pandas,chaines_vides,total_manquants,pct
table1,ID,30332,0,0,0,0.0
table1,CDSEXE,30332,0,0,0,0.0
table1,MTREV,30332,0,0,0,0.0
table1,NBENF,30332,0,0,0,0.0
table1,CDSITFAM,30332,0,0,0,0.0
table1,DTADH,30332,0,0,0,0.0
table1,CDTMT,30332,0,0,0,0.0
table1,CDDEM,30332,0,0,0,0.0
table1,DTDEM,30332,0,0,0,0.0
table1,ANNEEDEM,30332,0,0,0,0.0
table1,CDMOTDEM,30332,0,0,0,0.0
table1,CDCATCL,30332,0,0,0,0.0
table1,AGEAD,30332,0,0,0,0.0
table1,RANGAGEAD,30332,0,0,0,0.0
table1,AGEDEM,30332,0,0,0,0.0
table1,RANGAGEDEM,30332,0,0,0,0.0
table1,RANGDEM,30332,0,0,0,0.0
table1,ADH,30332,0,0,0,0.0
table1,RANGADH,30332,2584,0,2584,8.5191
