,PC1,PC2,PC3,PC4,PC5,PC6,PC7
z_CDSEXE,-0.014168262322775392,0.1143019498464703,0.0634882461476522,0.5656353317324068,0.37512575934700393,0.23397998692430624,0.3688067479392793
z_MTREV,-0.004728236661725171,0.01585164744326717,0.018283580280091888,-0.0800131046817974,0.050793478841716005,0.014364969895468692,0.06943014034368745
z_NBENF,-0.033164788297025495,0.12181915691509383,0.0373946125658867,-0.49116001166440504,0.5806725883146557,0.1923895806014157,0.009164667298591552
z_CDTMT,-0.09645418668005169,0.11416741591766741,0.04825552319551749,-0.235244319321993,-0.181331769190425,-0.2139301794017295,0.628362079061222
z_CDCATCL,0.17221957054253478,0.01706415839281492,0.01474019757240881,-0.008396926644179584,0.0005160966993654856,-0.0076289535904293234,0.015729828254471587
z_BPADH,0.0038284788598325157,0.07708642451069764,-0.04448968573179872,-0.06325487477242145,-0.22631624861336172,0.5536579624753692,-0.058923593874173105
z_age_ref,0.007783934099732592,-0.2846329481500217,0.2639573165954104,-0.10885445477149465,-0.19801876059830448,0.42229436897944156,0.15000356549500732
z_anciennete_adh_ans,-0.006856750319503398,-0.33736727825046076,0.33166150678627626,0.025795801747554515,0.12974833046327253,-0.17783247459577578,-0.018856537699356635
sit_A,0.0279154124070424,-0.138603088881884,-0.12757033605922252,0.021902972272062872,-0.012478288260859529,0.006947911719068652,-0.011500758922006646
sit_B,-0.0007184447947152227,-0.0002816900307309488,-0.002867030273286135,-0.006824630841849813,0.006443004669670767,0.0037123097209516387,0.0035852687408095872
sit_C,-0.005405071404832343,0.04826024065196595,0.01799082151014986,0.10277100682792299,0.019040600438635334,-0.023720143127256395,0.044814784518432946
sit_D,-0.002211573967143936,0.009852937327337913,0.02777420448788267,-0.0017692605487992417,-0.005976684708646556,9.81238890463923e-05,-0.007254756486214481
sit_E,-0.0007378721828500795,0.003951406236034197,0.005703573648422573,-0.002833450845507248,-0.001547890568376497,0.00043195618105740214,-0.003703620351723678
sit_F,-0.0001627558799536204,0.0012716866140130283,0.001854134439834546,-0.0007150439216529491,-0.0007054575915042197,0.00026838783912762094,-0.0014240030471636069
sit_G,-0.0012697746620250277,0.0073750815658560325,0.011085067027231076,-0.003590437520748844,-0.004032503254687581,0.0008092231940494898,-0.007579317952880949
sit_M,-0.012467589360115739,0.020629656823913756,0.014273801945011518,-0.11261404341525033,0.02494397600951575,0.013233672482635692,0.025471318211843116
sit_P,-0.0005455296923440601,0.007046525008612657,0.0063949601673879905,0.0020809417013342244,-0.005515393442440674,-0.00018708545101359252,-0.006836705934089785
sit_S,-0.0004193289458637657,0.003620368509373776,0.006856521755584678,-0.0007648021370764387,-0.0027509712743800058,-0.0013239734777329328,-0.004641312826157273
sit_U,-0.003343667546020594,0.0300466710104201,0.01773630366069904,-1.990809471887154e-05,-0.006263962299340842,-0.004139756123482203,-0.022346817524748704
sit_V,-0.0006338039711780128,0.006830205165087531,0.020767977690304657,0.0023766565242837306,-0.011156429717586147,0.003869373153548291,-0.008584078426100643
cat_sitfam,-0.0989626338255074,0.6273778839675497,0.6956856217123736,0.03909389241451705,-0.14796424976621836,-0.03032521863315908,-0.22159119803786995
cat_sexe,-0.009764381427539714,0.0787737981402526,0.04375437420823916,0.3898205017738763,0.2585264808142094,0.16125264952690233,0.2541715898456237
cat_tmt,-0.08313228506852356,0.09839902747909578,0.041590645761468016,-0.20275322915217095,-0.15628688444931743,-0.1843829207515694,0.5415749930694441
cat_catcl,0.9698657401973004,0.0960979205693919,0.08301038368741878,-0.04728783987490254,0.0029064322118948945,-0.04296294955099324,0.0885835533972007
cat_nbenf,-0.0244308790171306,0.08973822048574312,0.027546783875342172,-0.3618135811860944,0.4277531225776487,0.14172400335361715,0.00675116258843176
cat_mtrev,-0.0,6.970122149415553e-41,-1.9922386761757386e-37,1.6753697000571643e-34,-2.2332875125738431e-32,1.3534202214349362e-30,-1.8749603447611693e-30
cat_age,0.0221161865607093,-0.28692333597167774,0.2680495159979788,-0.0875848595910406,-0.19630615906793625,0.42904397080649875,0.13423209675535575
cat_anc,-0.009094306791702221,-0.4748617592428047,0.4736474464874387,0.035655823717781164,0.20799682645767487,-0.2791968705764666,-0.034240820543751445
