,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
z_CDSEXE,0.13539871975152365,-0.10074107223433033,0.6196359350285752,0.5588855912208008,-0.2612610140044222,0.10853503089842215,0.28069579503650577,0.15735759851882047,0.10967935006226069
z_MTREV,0.40543187115117196,-0.08176340674698958,-0.4309598521740708,0.2562477353906872,-0.26801703184155845,0.6460020197516875,-0.18602007788000952,-0.2149571370718528,0.02009307459225365
z_NBENF,0.4489606928311466,-0.11474099976192191,-0.3547400194303039,0.030201483514224737,-0.43513029487795657,-0.5820133795337084,0.2217109382336369,0.23612907996465923,-0.1357793901949392
z_CDTMT,0.5292364614523105,-0.035517195988998274,0.09000082835045996,-0.30766781541681715,0.5169605087931832,0.22405370547112083,0.3463547516543845,0.24279085134948494,-0.16892563633485383
z_CDCATCL,-0.45348310297947175,-0.28298883449100243,-0.24652680982949776,-0.2049401497850225,-0.23604415087523767,0.3540582558156748,0.446803988016268,0.45631461425527586,0.09189110018640799
z_BPADH,-0.13694073970542592,-0.40921707816302194,-0.2838368668976059,0.5565869622548355,0.4980483870647953,-0.13400445380037473,-0.17858770005230504,0.26819648503937926,-0.0837331969867255
z_age_2007,-0.1403511525070066,0.5026602914201677,-0.29144880866362244,0.3493432339550679,0.18778340466504256,-0.024839632430779104,0.6123221639671695,-0.3054343269992019,-0.06078804052070802
z_anciennete_adh_ans,0.019752409914863517,0.6561250361989281,-0.05073165522975509,0.11562585465381704,-0.038707481922141504,0.1061358697619511,-0.29757886558322466,0.6386593614744986,-0.03782326406820452
mm_CDSEXE,0.03274298859396174,-0.024361853532776336,0.1498443440992803,0.13515330552795868,-0.06317981748492375,0.02624663870732298,0.06787966113800513,0.03805322578330272,0.026523365321859692
mm_MTREV,0.013067987917299535,-0.002635419875633065,-0.013890812592165583,0.008259445169943903,-0.008638796263824251,0.020822108939527347,-0.005995848632247059,-0.006928555621481514,0.0006476453250884183
mm_NBENF,0.030464131798174202,-0.007785726000552355,-0.02407080815441474,0.002049315205025663,-0.029525673102803185,-0.03949239339998109,0.01504414829916225,0.01602248822288424,-0.009213281484154642
mm_CDTMT,0.08958292845551108,-0.0060119335287134226,0.01523428250754128,-0.05207839199308781,0.08750499945990091,0.03792517811855255,0.05862686189937966,0.04109678196851407,-0.028593746456092133
mm_CDCATCL,-0.03761348426270511,-0.02347208970458688,-0.02044780107777565,-0.01699845715990073,-0.019578332458070113,0.029366837586022522,0.03705949496540456,0.03784833977135008,0.0076217711928742585
mm_BPADH,-0.029569896308130506,-0.0883630875284167,-0.061289479965137755,0.12018497048968925,0.1075446152373464,-0.028935858037779684,-0.03856281033543254,0.05791222005868327,-0.018080681890369422
mm_age_2007,-0.012482364954997072,0.044704935398222,-0.025920488221547303,0.031069425956929,0.016700831789777788,-0.0022091543376068002,0.05445789780949764,-0.027164313732283896,-0.0054062862550470926
mm_anciennete_adh_ans,0.0039187583806482,0.13017122950768825,-0.010064852843407081,0.02293946859635048,-0.0076793297541905515,0.02105671312562485,-0.0590378428978699,0.12670614552578244,-0.007503906292427306
sit_A,-0.23828853307483686,0.052216307972111485,-0.050529571417743745,-0.025441069708123293,-0.13658865228062322,-0.04505692182829834,-0.05383111304402931,-0.04622454871332795,-0.19751177002107537
sit_B,0.011136562383624765,-0.0030258733071892763,-0.013336414549553142,0.006594434562791169,-0.007681340236249974,0.009108987817533677,-0.005230827183639744,-0.0015214054594321084,-0.03726444276635479
sit_C,0.019540486858400662,-0.06310988283338578,0.1689869949016992,0.01802679688116404,-0.0025119699059002764,0.08978830661305749,0.027273491597394846,0.030593579098682645,-0.31538629745270125
sit_D,0.01815205047776687,0.013968750457687501,-0.0024726927640937803,0.009437802061133272,0.0135088075275451,0.017496327583178845,0.004398051365819988,0.006309956808971044,-0.1016850895034699
sit_E,0.006999680853950211,-0.0016975891385291732,-0.007698958321002656,0.0024610876122767317,-0.003167903287281723,0.00401759580090165,-0.0022409671039320418,-0.000639541592451525,-0.022497884649785905
sit_F,0.0014186964389516022,-0.0007998322641970502,-0.0018599050068773086,0.00043384731864465494,-0.0007036814643549166,-0.0003338942412114604,0.0003804965416180109,-0.0011341919645379349,-0.005003361402998745
sit_G,0.010021921875568987,-0.0022774510140416014,-0.011572277411723052,0.006018947094603829,-0.00490586718592738,0.008889482528515976,-0.002921637901947717,-0.002118953019659895,-0.03531808540406835
sit_M,0.13453634946138876,0.03122367253084465,-0.08695103315766471,-0.026727786067684015,0.13272058496824082,-0.09880237163357798,0.03254460849822112,0.05242651499793608,0.8674933250415799
sit_P,0.002365394056452042,-0.0064085341609244955,0.002438814147321624,0.0015338698002378946,0.0022875812324652323,0.003673378222040181,-0.001498533958650247,-0.007704421411482158,-0.0054071233602797746
sit_S,0.0027306907095326982,0.0015149116696142708,-0.0011665210950843358,-4.0192118554969014e-05,0.0013146374059675775,0.0011393402577395105,-0.0004012896766607196,0.0006723560960679483,-0.013787456181818132
sit_U,0.027739966835307318,-0.027741867365651415,0.005042783276450937,0.0018456235487411636,0.00023395256237736893,0.0010421082410836057,-0.0021541971110178707,-0.031062017602641025,-0.11157915632329399
sit_V,0.003646733123893217,0.006137387453661106,-0.0008812186017289158,0.005856639014769378,0.005493850663741506,0.009037660639036322,0.0036819179768243534,0.0004026727618751963,-0.022052657975734764
mot_DA,-0.003417757818521633,-0.0001849111559780146,0.00012996429932791322,-0.001711040550263964,-0.0040997844180710235,0.0019442573615201584,0.004562568719350226,-0.0012060330479825865,0.0048659325055169745
mot_DC,-0.013689546857917748,0.019217076532237514,-0.0036327161228685554,0.004155992216673829,-0.006295529388810128,-0.0023274032880670286,-0.006220008988111131,0.00747833584617785,-0.010985108203278512
mot_DV,-0.017441134103882535,0.009260556195203447,-0.0013078313078040108,0.0018335850778812917,-0.018347368115719152,0.005050157227470691,-0.0008555210973498153,0.018689650903453228,0.009831489004565867
mot_RA,-0.001783739234176348,0.00047802470328980987,-0.000136901985562888,-0.001011588840150122,-0.00165824357857673,0.00047355132412798076,-0.0005061536214000809,0.001054400369680873,-0.0007933760921899332
mot___MANQUANT__,0.03633217801449827,-0.028770746274752713,0.004947485116907545,-0.0032669479041411045,0.030400925501176866,-0.005140562625052006,0.003019114987511129,-0.02601635407132963,-0.0029189372146143475
