variable,score_f,selectionnee
mot_DV,29833.491184995717,True
mot___MANQUANT__,27877.506586516625,True
mot_DA,2731.1721203695174,True
mot_RA,987.3733988071557,True
sit_A,393.1039687654905,True
mm_CDTMT,363.87875057373714,True
z_CDTMT,363.8787505734118,True
mm_CDCATCL,259.591344331297,True
z_CDCATCL,259.591344331243,True
mot_DC,175.38856437227037,True
z_anciennete_adh_ans,161.5366958022022,False
mm_anciennete_adh_ans,161.53669580220077,False
sit_M,86.66272289769468,False
mm_NBENF,81.01801453491004,False
z_NBENF,81.01801453489905,False
mm_MTREV,80.89848134416943,False
z_MTREV,80.8984813441612,False
mm_age_2007,60.75040434969815,False
z_age_2007,60.75040434941067,False
mm_BPADH,52.27688453752883,False
z_BPADH,52.276884537526335,False
sit_C,26.425882581760654,False
sit_U,16.97094358727507,False
sit_G,6.725767093235057,False
sit_P,4.773216254972753,False
sit_D,4.399682347219023,False
sit_E,3.943630392594476,False
sit_B,1.9930081378624291,False
z_CDSEXE,1.8241128804241948,False
mm_CDSEXE,1.8241128804101423,False
sit_F,1.2901329204701077,False
sit_V,0.5048509591946685,False
sit_S,0.07196023680324311,False
