ID,CDSEXE,MTREV,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,BPADH,DTDEM,age_2007,anciennete_adh_ans,MTREV_discrete,cible_churn
1,1,0,0,A,0,__MANQUANT__,98,0,31/12/1900,,8.087611225188228,0,0
2,2,0,0,M,2,__MANQUANT__,10,10807,31/12/1900,67.89322381930185,38.861054072553046,0,0
3,3,1524,0,M,2,__MANQUANT__,10,16807,31/12/1900,,36.94729637234771,0,0
4,2,0,0,A,0,DC,21,10807,31/12/1900,75.66598220396989,36.54757015742642,0,0
5,2,1722,0,G,2,__MANQUANT__,10,10807,31/12/1900,,36.544832306639286,0,0
6,3,0,0,D,2,__MANQUANT__,10,13907,31/12/1900,69.97125256673512,35.624914442162904,0,0
7,3,0,0,A,0,__MANQUANT__,10,11307,31/12/1900,,35.370294318959616,0,0
8,2,0,0,B,0,DV,21,10807,14/02/2001,73.57426420260096,34.45311430527036,0,1
9,4,4300,0,C,2,__MANQUANT__,10,16807,31/12/1900,,29.7056810403833,1,0
10,3,0,0,A,0,DV,21,16807,25/05/1998,,26.902121834360027,0,1
11,3,1903,0,G,2,__MANQUANT__,10,10807,31/12/1900,,26.80082135523614,1,0
12,2,0,3,M,2,__MANQUANT__,10,10807,31/12/1900,,26.236824093086927,0,0
13,3,0,0,M,0,DV,21,11307,21/12/2005,,26.04517453798768,0,1
14,3,0,0,A,0,__MANQUANT__,10,11307,31/12/1900,52.0,25.927446954141,0,0
15,2,0,0,A,0,__MANQUANT__,10,11307,31/12/1900,,25.88911704312115,0,0
16,3,0,2,M,2,__MANQUANT__,10,10807,31/12/1900,49.15537303216975,25.270362765229294,0,0
17,4,0,0,C,2,__MANQUANT__,10,10807,31/12/1900,54.48049281314169,25.152635181382614,0,0
18,3,1738,1,M,2,__MANQUANT__,10,10807,31/12/1900,,24.31211498973306,1,0
19,4,0,0,C,2,__MANQUANT__,10,10807,31/12/1900,52.73100616016427,23.433264887063654,0,0
20,2,0,0,A,0,__MANQUANT__,10,13507,31/12/1900,,37.10335386721424,0,0
21,2,4153,1,M,2,__MANQUANT__,10,10107,31/12/1900,,31.575633127994525,1,0
22,2,0,0,A,0,DC,10,10107,31/12/1900,,31.085557837097877,0,0
23,2,0,0,M,0,DC,10,10107,31/12/1900,,30.798083504449007,0,0
24,2,2145,1,M,2,__MANQUANT__,10,10307,31/12/1900,,28.78302532511978,1,0
25,3,0,0,M,2,__MANQUANT__,10,13507,31/12/1900,,28.722792607802873,0,0
26,2,0,0,A,0,__MANQUANT__,10,10307,31/12/1900,66.80903490759754,28.28473648186174,0,0
27,2,0,0,M,2,__MANQUANT__,10,15807,31/12/1900,,28.281998631074607,0,0
28,3,0,0,A,0,__MANQUANT__,10,0,31/12/1900,,28.04928131416838,0,0
29,3,0,0,M,2,__MANQUANT__,10,10107,31/12/1900,,27.915126625598905,0,0
30,3,0,0,A,0,__MANQUANT__,10,11307,31/12/1900,,27.797399041752225,0,0
31,2,1935,1,C,2,__MANQUANT__,10,11307,31/12/1900,62.8911704312115,27.586584531143053,1,0
32,2,1560,1,M,2,__MANQUANT__,10,10107,31/12/1900,48.41341546885695,27.21423682409309,0,0
33,2,2506,2,M,2,__MANQUANT__,10,13507,31/12/1900,,27.132101300479125,1,0
34,2,2379,2,M,2,__MANQUANT__,10,10107,31/12/1900,58.72142368240931,27.096509240246405,1,0
35,4,2653,0,C,2,__MANQUANT__,10,13507,31/12/1900,,26.981519507186857,1,0
36,3,0,0,A,0,__MANQUANT__,10,18507,31/12/1900,,26.781656399726216,0,0
37,3,1829,0,B,2,__MANQUANT__,10,10507,31/12/1900,69.88364134154689,26.480492813141684,1,0
38,2,0,0,M,2,__MANQUANT__,10,13507,31/12/1900,,26.455852156057496,0,0
39,3,0,0,D,2,__MANQUANT__,10,13507,31/12/1900,66.25051334702259,26.269678302532512,0,0
40,3,1911,2,M,2,__MANQUANT__,10,13507,31/12/1900,,25.796030116358658,1,0
41,3,0,0,A,0,__MANQUANT__,10,0,31/12/1900,84.0,25.125256673511295,0,0
42,3,0,0,A,0,__MANQUANT__,10,13507,31/12/1900,,24.50650239561944,0,0
43,2,2280,0,M,2,__MANQUANT__,10,13507,31/12/1900,61.987679671457904,24.027378507871322,1,0
44,3,2462,2,E,2,__MANQUANT__,10,10107,31/12/1900,,23.89596167008898,1,0
45,2,0,0,M,2,__MANQUANT__,10,17907,31/12/1900,,41.00479123887748,0,0
46,2,0,0,V,2,__MANQUANT__,10,12607,31/12/1900,79.56741957563312,40.878850102669404,0,0
47,2,0,0,M,2,__MANQUANT__,10,11907,31/12/1900,,38.09993155373032,0,0
48,3,1691,0,A,0,__MANQUANT__,10,11307,31/12/1900,69.56878850102669,36.55578370978782,0,0
49,3,1715,0,M,2,__MANQUANT__,10,11907,31/12/1900,69.91101984941821,33.12799452429842,0,0
50,2,1870,1,M,2,__MANQUANT__,10,11907,31/12/1900,57.15537303216975,31.603011635865844,1,0
51,3,0,0,M,2,__MANQUANT__,10,11907,31/12/1900,57.15537303216975,30.203969883641342,0,0
52,2,1946,0,M,0,__MANQUANT__,10,11907,31/12/1900,56.64613278576318,30.00684462696783,1,0
53,3,0,0,M,0,__MANQUANT__,10,11907,31/12/1900,,27.290896646132786,0,0
54,2,0,0,M,2,__MANQUANT__,10,11907,31/12/1900,59.80835044490075,26.094455852156056,0,0
55,2,0,0,M,0,DV,21,11907,22/11/2006,65.98494182067077,26.04243668720055,0,1
56,2,2300,0,C,2,__MANQUANT__,10,11907,31/12/1900,,25.196440793976727,1,0
57,2,0,0,A,0,__MANQUANT__,10,11907,31/12/1900,,24.22450376454483,0,0
58,2,0,0,A,2,DC,10,11907,27/01/1993,,24.10130047912389,0,1
